sentiment,time,tweet
Positive,Sat May 30 06:14:36 PDT 2009,"I'm enjoying the new Flaming Tunes reissue that got posted through my mailbox this morning, and I'm getting ready to go to a barbecue. "
Negative,Mon Jun 01 07:49:24 PDT 2009,"I was sure the cops was going to rodney king my ass, instead they gave me points instead. Like it was a effin moving violation. "
Negative,Fri Jun 19 15:19:10 PDT 2009,did gary papa really die...if so that is so sad 
Negative,Tue Jun 23 16:20:35 PDT 2009,@TheRealEmmaW Is this the real emma because their are two more twitter accounts saying they are you. 
Negative,Wed Jun 17 23:37:31 PDT 2009,"@sundayrevival i love the pumpkins (even have a tattoo), but james iha puts me to sleep and it's just depressing to see him in that band "
Positive,Tue Jun 02 11:18:16 PDT 2009,getting my game on with the new sales reps 
Negative,Sat Jun 06 23:32:53 PDT 2009,updating my info on facebook and myspace and havin a hard time gettin to sleep 
Positive,Fri Jun 05 13:40:59 PDT 2009,Dont Trust Me - 3OH!3. woot. ive stopped crying now  bored though. merh. entertain me..?
Positive,Sat May 02 12:38:22 PDT 2009,is very jealous of his friends who got tickets to go to the Xmen movie world premiere in Tempe tonight.    // cool http://gykd.net
Negative,Thu Jun 18 17:14:50 PDT 2009,@ablissit oh no!!!! You've got a busy weekend ahead 
Negative,Mon Jun 01 17:57:54 PDT 2009,@Big_Sean im so sorry about your grandma. im praying. 
Positive,Wed Jun 03 03:08:21 PDT 2009,@LostNMissing your uo early as well good morning 
Negative,Fri May 22 05:44:31 PDT 2009,"Good morning. It's warm outside, but the sun is gone! "
Positive,Sun Apr 19 02:33:06 PDT 2009,@farfbaz I'm right here  L&amp;O: CI on MYST is pretty good this morning..
Positive,Mon Jun 15 00:12:06 PDT 2009,Alton Towers today yay 
Negative,Thu Jun 18 17:01:33 PDT 2009,I don't wanna go to work...hurmph! waaaaaahhhh 
Positive,Sun May 03 16:33:56 PDT 2009,@germainlussier the &quot;girlfriend experience&quot; was very good I think ud enjoy it 
Negative,Tue Jun 16 23:20:59 PDT 2009,@jasminejoejonas u never gave me back my burt bees 
Positive,Sat Jun 06 20:48:48 PDT 2009,@ddlovato Glad you had such a great time at the videoshoot 
Positive,Sun May 31 05:00:31 PDT 2009,You can tell that the American's are asleep because Rove is a trending topic &amp; not some nonsense like 'howtobeadumbass' 
Positive,Mon Jun 15 23:16:14 PDT 2009,@tomlenk - just wanted to say happy birthday! it's actually by birthday as well. 
Positive,Mon May 18 05:05:15 PDT 2009,@dumilewis so i decided what i need is to come stay in your apartment until after june 5th so i can suck up intellectual/positive energy 
Positive,Fri Jun 05 11:25:57 PDT 2009,@aushack You can use Inline::Ruby from Perl 
Positive,Sat Jun 06 19:48:32 PDT 2009,hi new followers 
Positive,Sun May 31 01:58:29 PDT 2009,@stuartsharpe Ah you're saying being obsessed with his body language is the only thing keeping me watching at all? 
Positive,Fri May 29 15:54:23 PDT 2009,Heading to bedfordshire if my stuffy nose will let me sleep! Big day tomorrow! Squeaky's getting her 1st pair of proper shoes 
Negative,Thu May 14 04:15:53 PDT 2009,In dentist waiting room. Nothing quite like the anticipation of pain 
Positive,Fri Jun 05 12:26:29 PDT 2009,deyantay.... is gay  that ryhmed.
Positive,Tue Jun 02 02:22:48 PDT 2009,@beYOUthful hmmm....ok... 
Positive,Mon May 04 04:53:17 PDT 2009,26 days till 18  cant wait.
Positive,Sun Jun 07 16:17:13 PDT 2009,the 1938 version of the Adventures of Robin Hood 
Negative,Sun Jun 21 06:57:33 PDT 2009,"really wanna go out from this house and go somewhere, bored "
Positive,Tue Jun 16 06:24:30 PDT 2009,"dentist, hangin out, first real choreography job!, rehearsal, then bru's room "
Positive,Sat May 30 11:36:53 PDT 2009,"After my Hollie BUZZ remark, I'm gaining "
Positive,Mon May 18 00:26:29 PDT 2009,Check this out. Have fun watching!  http://bit.ly/mOCnY
Positive,Sun May 31 09:37:26 PDT 2009,@calebftsk http://twitpic.com/6c9go - aww ur so cute 
Positive,Fri Jun 05 21:36:13 PDT 2009,well i just got back from hollister &amp; i feel excited because El Salvador is playing against Mexico.. so i'm hoping El Salvador wins 
Positive,Sun May 31 10:37:39 PDT 2009,doesn't feel well but already loving life at Lake Ann Camp!  It's gonna be a great summer! @kevin_root we're meeting many friends of yours
Positive,Sun Jun 07 16:52:25 PDT 2009,@bflywears it was good!  i am pleased. i'm going to try and do it next sat AND... Read More: http://is.gd/ScpQ
Positive,Mon Jun 15 23:48:10 PDT 2009,@mileycyrus I'm still stoked about &quot;The Last Song&quot; 
Positive,Fri May 01 20:15:45 PDT 2009,@polyorpheus I agree. 
Positive,Tue Jun 16 01:44:48 PDT 2009,"@faye_tan *hugs  but think about it, you made it THIS far and you don't have to worry about anything next year ;)"
Negative,Mon Jun 15 23:49:46 PDT 2009,@numberchic me thinks it's just the pain from holding in my poop. 
Positive,Sat May 30 02:27:10 PDT 2009,@djhellayella I've DM'd u b4 so I know that is not true!! lol  I'm not lying either!!! lol
Negative,Mon Apr 20 06:39:27 PDT 2009,1) My daughter's scary sick 2) I might have just lost my new job 3) 
Positive,Fri May 29 21:49:56 PDT 2009,partayyyyyyy with bryce e poo n fam!! dont be hatin!!! 
Positive,Sun Jun 07 15:58:53 PDT 2009,This weekends gone so quick.. it's been amazing. Back to school tomo :/ 5 weeks till summer holidays! 
Negative,Sun May 31 10:07:37 PDT 2009,@ColeTon  i miss you too!!!
Negative,Mon Jun 01 21:34:26 PDT 2009,having no credit card foils me again 
Negative,Thu May 14 04:02:32 PDT 2009,"@Dannymcfly Stop complaining  At least you don't have to go to school at 6am.... The new dvd is AWESOME, btw. The best so far. Congrats!"
Positive,Sun May 03 19:01:05 PDT 2009,@raywmc Yes 
Positive,Sat May 09 22:06:20 PDT 2009,just woke up from a nap... 
Positive,Mon May 18 00:24:22 PDT 2009,@ChesterBe can't wait for new divide  when will be the single release? you rock
Negative,Mon Jun 22 19:24:42 PDT 2009,hay last saterday was  my b day ya it was so fun to bad it had to end  it was fun
Negative,Sat May 30 13:26:35 PDT 2009,@bubbly_vicky ik  I'll put it on hold. i'm actually reading a sci-fi book. u know &quot;the host&quot;? by stephenie meyer?
Positive,Fri Jun 05 18:33:36 PDT 2009,@mikey_nw19 im that way with McFly! Haha  you should listen to them 
Negative,Mon Jun 22 18:27:14 PDT 2009,Not feeling my phone vibrate. It's pretty much never going to do that again. 
Positive,Sat May 30 10:29:56 PDT 2009,@vivek1209  you know my twitter profile http://tinyurl.com/mbdlvz has got a google page rank of 3. Yaayyy!! you got PR of 5 
Negative,Mon May 18 07:18:38 PDT 2009,"@Solstitial ohhh, then i believe you because that is sad "
Negative,Thu Jun 18 09:17:35 PDT 2009,.. why WHYYY do i have to hear these people flirting with each other..  whyyyyyy????  
Negative,Sat Jun 06 22:39:44 PDT 2009,is  Wish there was a backdoor to escape to happy carefree nevernever land. http://plurk.com/p/z05at
Negative,Thu Jun 04 10:08:39 PDT 2009,"@dereckbreuning Awww, how long is he gone, Dereck? Miss my dad too. He died 1997 "
Positive,Mon Jun 15 22:53:46 PDT 2009,@jadeeisabel i found you off caitlins twitter. how about following mee  lol
Positive,Sun May 17 10:36:40 PDT 2009,"@Werner If u promise not to say &quot;Cloud Insurance&quot; during ur Interop preso, I promise to stay silent 4 1 hour @ the '10 CAB Summit. Deal? "
Negative,Mon Jun 01 06:09:38 PDT 2009,The bottom of my sweater is unzipped like 2 inches and the rest is zipped. I can't fix it! 
Positive,Sat May 30 20:30:47 PDT 2009,making my skirt for rhiannons party  yayayayyay
Positive,Sat May 30 23:23:42 PDT 2009,@tseeb love you baby 
Negative,Sun May 10 09:59:17 PDT 2009,@coolokc work  soooo tired- am i still doing ur show?
Negative,Sun Jun 14 23:16:42 PDT 2009,"@Hurgledurf I have to go to bed now Andrew.  I have to be at work early   Otherwise, I'd love to play L4D."
Negative,Sat May 30 21:47:04 PDT 2009,Is &quot;@ embarassed&quot; right now.  cory and cody doin' glowsticks to f*ckin' rap at Grahams.
Negative,Tue Jun 23 09:32:06 PDT 2009,You know the whole jon and kate plus 8 thing really makes me sad 
Negative,Sun Jun 07 15:39:26 PDT 2009,Can't wait to be home and actually pretend I have a summer....too many mixed feelings about a lot of things 
Positive,Thu May 28 21:50:35 PDT 2009,@StanPacHomesRal - &quot;show us where you live Friday&quot; could be a cool &quot;Show us your Stan Pac Home Saturday&quot; series 
Positive,Sun May 03 17:14:06 PDT 2009,gonna have sushie 4 lunch today 
Positive,Sun May 31 07:46:41 PDT 2009,bed time now. happy #andyhurleyday haha 
Negative,Tue Jun 16 06:38:29 PDT 2009,"@elephantfreak Awwww, still another day to go?  We all should have been out LAST week. We had 1/2 day yesterday too, uhhh POINTLESS."
Negative,Mon Jun 01 09:19:14 PDT 2009,I took AirFrance 4 times this past semester... 2ce in the past month... scary.. 
Positive,Sat Jun 06 05:45:15 PDT 2009,has a gorgeous colourful frog in her living room 
Negative,Sat Jun 20 10:57:01 PDT 2009,Suffering through my weekly time-sheet blues...   At least I'm not being tear-gassed &amp; beaten in the street.
Positive,Mon Jun 15 20:27:05 PDT 2009,Casablanca is waiting for me... tomorrow leaving Quebec city for Montreal by bus then fly to Morocco !!!  Isn't exciting ??? Life is good 
Negative,Fri Jun 19 15:14:53 PDT 2009,Night night guys glas @NickyLovesMcFly had a fab night at mcfly wish i couldve gone 
Negative,Sun Apr 19 11:35:13 PDT 2009,@pfspleen and i use them every day! I dont understand it 
Positive,Sat May 30 01:39:24 PDT 2009,@hartluck i sure did have a good time!! was AWESUM!! huge fan for a long time...i almost missed it was worth it 4 sure  love and respect
Positive,Mon Jun 15 23:28:16 PDT 2009,Lol ill cpy  nd u cud nvr smash me. Im ur frend!
Negative,Tue Jun 16 01:25:09 PDT 2009,@killaseze drink some tea or hot milk... why cant u sleep?? I so dont wanna go outside.. its chillyyyy 
Positive,Tue Apr 21 01:55:35 PDT 2009,@OGBERRY.....Im not a TWOE tho!!! Im a TWANGEL!! I'm TWERFECT 
Positive,Fri May 29 12:57:33 PDT 2009,&quot;3&quot; is almost here.  http://plurk.com/p/x2lui
Positive,Wed Jun 03 01:54:23 PDT 2009,@NimbleRunner yeah completely understand that. More a developer/paid advertiser than SEO person myself but thought I'd add my two cents 
Negative,Sat May 30 04:19:07 PDT 2009,"Stupid card machine on the train isn't working, its fucking hot and there's no water "
Positive,Mon Jun 01 06:26:19 PDT 2009,@sexybexy24 You're always hot.  Even when it's freezing you're still hot 
Positive,Sun May 31 18:22:37 PDT 2009,Getting ready to give Em her first driving lesson. She's going to do great! If you can drive this van you can drive anything 
Negative,Wed Jun 03 05:10:34 PDT 2009,@Kingi8713 no hunni she cant get over now  y? x x x any news yet? hows u x
Positive,Mon Jun 01 20:18:04 PDT 2009,"@timTech Andrew MacMohan, huh? One of the best friends I ever had liked him a lot.  I think of that friend everytime SC or JM comes up. "
Positive,Sun May 03 01:05:36 PDT 2009,Oh goddd. Late night driving with kate. Good night. 
Positive,Fri Jun 05 19:16:09 PDT 2009,@mandycsmith you may need a droolbucket or something. jericho looks yummlicious tonight like always. 
Negative,Thu Jun 25 03:40:34 PDT 2009,@AnnLinny exactly it's a rip off in my opinion! I mean now you have to pay even for the normal SC ... - that used to be for free 
Negative,Wed Jun 17 08:04:43 PDT 2009,is wondering where the morning went...it is already time for lunch...ugh...I am just going to have to start working night and weekends!  
Positive,Sun May 31 10:55:36 PDT 2009,I have spent the day in the sun the stable and with friends  An amazing day ; )
Positive,Sat May 30 20:59:26 PDT 2009,@3Deezy Lol...  Have a blast...  
Negative,Sun May 03 19:00:49 PDT 2009,"@joeymcintyre Aw, honey, I really wanted to see your pretty face but twitpic won't let me. "
Negative,Thu Jun 18 11:20:17 PDT 2009,@howie9416  I am not sure the time.  My local paper has no NHL talk whatsoever.   #nhlwithdrawal
Negative,Mon Jun 01 20:53:39 PDT 2009,I dont like thunderstorms...  
Positive,Mon Jun 01 16:09:31 PDT 2009,@cheapsuits I had an old Taurus that tried to kill me. Fiesta hasn't yet. 
Negative,Sat Jun 20 10:24:44 PDT 2009,I too had a dream I didn't want to wake up from . 
Negative,Fri May 22 03:17:54 PDT 2009,you`re hungover &amp; I`m broke 
Negative,Wed Jun 17 19:37:58 PDT 2009,I would rather much be at Java Jazz getting fucked up to carnifex &amp; impending doom.  another show ive missed. -_-
Positive,Sun Jun 07 13:44:14 PDT 2009,my bro told me that i'm cool. LOL yay 
Negative,Mon May 04 07:08:15 PDT 2009,monday... 
Negative,Tue Jun 16 13:37:53 PDT 2009,@AnotherDime OMG!! where have you been?!  I miss hearing about Chipotle from you lol
Negative,Sat Jun 06 15:50:38 PDT 2009,@7726 what a yummy day! but sadly not for me since it's almost 3 am of the next day 
Positive,Mon Jun 15 12:49:17 PDT 2009,http://twitpic.com/7hjsq - love my new shia labeouf desktop for work! 
Negative,Thu May 14 05:36:31 PDT 2009,In the office today 
Positive,Sat Jun 06 23:13:46 PDT 2009,Mooorning Gio! Have a good trip! I hope to stop raining 
Positive,Mon Jun 15 16:19:00 PDT 2009,"@jameybennett Oh, I'm sure I'll still enjoy it. I will let you know... "
Negative,Sat Jun 20 18:56:47 PDT 2009,my voice is dry adn crackly 
Negative,Thu Jun 18 20:29:45 PDT 2009,My nephew broke his leg today  he's 2 yrs old
Positive,Sat May 30 12:56:50 PDT 2009,@rachmurrayX yehhhhh 
Negative,Thu Jun 18 19:45:01 PDT 2009,"Oh shoot !!! I didn't know Kobe was in Disneyland, Anaheim...today...!   "
Negative,Sun Jun 07 15:35:56 PDT 2009,is on the quiet floor @ Club Ode cramming for finaaaals.. but I just wanna nap. 
Negative,Tue Jun 23 14:41:35 PDT 2009,"@cakey I am okay, I am a bit sad reading about #iranelection stuff  How are you?"
Positive,Fri May 29 18:27:44 PDT 2009,@kdunkzz i eated it 
Negative,Mon Apr 20 00:15:33 PDT 2009,Morning y'all! New bed being delivered today. Girls are loaded with the cold and miss their daddy 
Positive,Fri May 22 01:27:20 PDT 2009,@iN0J Happy birthday! 
Positive,Sat May 30 19:18:18 PDT 2009,is live on blogTV  come join  http://www.blogtv.com/People/Michske
Negative,Wed Jun 03 02:42:43 PDT 2009,@mynameisadi won't link me 
Negative,Thu Jun 25 05:57:18 PDT 2009,"@taniaoliveira Link! Link! Link! Ai, como eu queria ver!!!  rs"
Positive,Wed Jun 03 06:47:05 PDT 2009,@jezlyn thanks 
Positive,Sun May 31 15:54:03 PDT 2009,anyone have an open seat @ their place where someone could watch the Red Wings game??? 
Positive,Sun May 17 11:15:22 PDT 2009,Talylor swift album again I could play this album everyday for the rest of my life its just that Good 
Negative,Sun Jun 07 20:25:24 PDT 2009,man I wish He was with me right now I am bored and sad. 
Negative,Mon Jun 01 05:29:13 PDT 2009,I am not feeling good this morning.  The cat is meowing in my face...better feed it an put the dogs out. Then shower and leave.
Positive,Mon Apr 20 06:04:09 PDT 2009,@HenryHoward Got it.  Thanks. 
Negative,Fri May 22 07:03:33 PDT 2009,uh..time for work  but its my last day
Negative,Sat Jun 06 15:56:44 PDT 2009,@NaythenCash aww... 
Negative,Sat Jun 20 14:16:04 PDT 2009,my baby boy was 3 on 17th and he got his letter for his school today 
Positive,Fri Jun 05 16:59:20 PDT 2009,@spahkleprincess bye! I'm just off to bed 
Positive,Fri Jun 05 09:16:39 PDT 2009,getting called a FF fox...a sign of bright and shiny things to come today?  Sweet!  Thanks @bobwarren for the #FF mention  
Negative,Sun May 10 19:55:49 PDT 2009,this weekend's almost over 
Negative,Sun Jun 07 18:46:59 PDT 2009,"@abeezy19 Language. You can't be talking that way in front of Jaiden, he hears you! "
Negative,Tue Jun 16 05:35:38 PDT 2009,Wishing I had made coffee this morning. Any one stopping a dunkin on the way to staff mtgs?  
Negative,Sun Apr 19 04:14:53 PDT 2009,Goin to ancol 
Negative,Thu May 28 21:32:15 PDT 2009,@mrskutcher Some children donot even touch their tray and it all goes in the garbage....soooo much waste 
Negative,Mon Jun 15 18:16:57 PDT 2009,"Sad day today, had to put my dog down, she was my first pet. "
Negative,Sat Jun 20 09:48:08 PDT 2009,OMJ PPP WAS SOOOO GOOD!!! But I couldn't see my dress 
Negative,Sat Jun 06 03:57:31 PDT 2009,off to Chicago! first class all the way((: hahh. I would say text but I have to turn off my phone 
Negative,Fri May 29 12:39:29 PDT 2009,not certain if it's good to be back home or not.  dropping of car rental now though 
Negative,Thu Jun 18 20:34:09 PDT 2009,"fuck fuck fuck. lost 2nd round, lost heads up in next 1st round &amp; now playing another 1st round. this week is my last chance "
Positive,Mon Jun 01 12:21:49 PDT 2009,@Better_Days Left 4 Dead 2 announced. I'm fully prepared to have a heart attack playing it. 
Negative,Sun May 31 11:51:22 PDT 2009,Betis are relegated  fuuuuuuuuck!
Negative,Sun Jun 21 06:30:21 PDT 2009,"@SleeplessNights holy crap, thats terrible "
Negative,Fri Jun 19 05:29:31 PDT 2009,sooo poor its crap need money for the weekend 
Positive,Sat Jun 06 09:30:11 PDT 2009,haha well I am still awake xD hopefully I will fall asleep soon  its fucking 9:30 xD
Positive,Sat Jun 06 22:47:34 PDT 2009,"@CassieeMariee Ohh ITS* okay.  Is Star Trek that bad. What about the black girl, that plays the only black crew member."
Negative,Sun Jun 21 08:17:53 PDT 2009,@Tazz602 He'd be proud of you to hear that I cant say the same about my dad but hopefully someday I will 
Positive,Wed Jun 03 08:10:45 PDT 2009,workin on 2 newsletters AND a blog.  i need more hours. sighhh ... oh well ... this is wat i love. 
Negative,Tue Jun 23 09:14:04 PDT 2009,I'm thinking that I'm gonna miss melbourne so very much when I leave this country for good. 
Positive,Fri Jun 05 15:52:04 PDT 2009,@thisgoeshere oh and thanks bout loving the pics  oh..just made a new one..
Negative,Wed Jun 17 08:02:38 PDT 2009,nosebleed over techie terms.  je ne comprends pas!  
Positive,Sat May 30 14:11:25 PDT 2009,"Playing with bella in her toy room,,,,   "
Positive,Mon Jun 01 01:04:20 PDT 2009,i can believe @mileycyrus won im so proud  god im up way to early
Positive,Tue Jun 16 05:32:28 PDT 2009,ooooh school sucks so much. off to my honey nowwww 
Negative,Mon Jun 22 19:17:08 PDT 2009,i hate cramps! 
Positive,Mon Jun 01 01:20:10 PDT 2009,@MrPaulEvans jus curious..  lol damn a girl can't ask a question anymore.. shit
Negative,Fri Jun 19 00:36:49 PDT 2009,Last working day in my company 
Positive,Fri Jun 05 19:36:08 PDT 2009,"@notahat Fair enough but a TimedObserver I can write in about 5 mins. Calendar widgets, progress meters, etc. I'd rather not write myself "
Negative,Wed Jun 17 05:21:57 PDT 2009,wet &amp; soggy out....&quot;paw drying&quot; is not a sport I'm trying to medal in 
Positive,Mon Jun 15 02:47:42 PDT 2009,@choprasakshi Lucky woman! I'm saving up for mine. 
Negative,Sat Jun 20 21:57:41 PDT 2009,"holy fuck! I barely got all these texts from people, and they were sent hours ago! wtf?! "
Negative,Sat Jun 20 10:26:18 PDT 2009,"@kyubikitsy nope, because my &quot;home&quot; office is kapolei, i get nothing  only if i travel from there"
Negative,Sun Apr 19 04:33:55 PDT 2009,@paulina1 Here are some windows options http://tinyurl.com/cz6g7z Nothing free in this list though  I'll keep looking.
Negative,Tue Jun 02 11:55:54 PDT 2009,@itscasibaby ...........you're not coming are you 
Negative,Wed Jun 03 00:22:56 PDT 2009,ordered pizza. but kinda lost my appetite after opening the box. 
Positive,Sat May 30 17:35:17 PDT 2009,"Long day at Morton's Poker Tourney, lots of $$ raised for great cause  Getting ready for Tiesto, then Hair Games Finale at Barcode!"
Negative,Sun Jun 21 02:30:24 PDT 2009,@intylicious can't stand ginger beer 
Positive,Sun May 31 14:33:15 PDT 2009,@BriBri2007 can I come watch the movie with you?  lol
Negative,Sun Jun 21 04:01:19 PDT 2009,and then i get the courrage to ask him out and he says no 
Negative,Sat Jun 20 03:20:46 PDT 2009,"BHusseinO's credit reforms will make credit more expensive to some, unavailable to others.  Everything he touches turns to crap "
Negative,Thu Jun 18 20:27:47 PDT 2009,@gotwoods My job is crazy and some component had some shit coding...  Why would you have onClipEvent... not a good external content loader
Positive,Mon Jun 15 19:02:19 PDT 2009,"@webchick aww, congrats. "
Negative,Wed Jun 03 01:44:55 PDT 2009,@donalskehan Cloudy in the sprawling metropolis of Ashbourne too  It was lovely and sunny till about 7.30.
Positive,Mon Jun 01 06:20:18 PDT 2009,"@LittleFletcher Hmm, I'll have to check it out. What's it about?? "
Positive,Fri Jun 05 14:09:14 PDT 2009,Back from camp  had a really good time  we were by the missouri river  it was so amazing we got to go caving too
Positive,Mon Apr 20 02:53:24 PDT 2009,Nothing like a conference call to fill up the do list 
Negative,Fri Apr 17 21:20:15 PDT 2009,not watching FOX tv - no Dollhouse tonite 
Positive,Fri May 29 01:17:42 PDT 2009,"@Sylviiarh LOL i will now try to go after conversing with lolmonster, so i shall ask mum and finish work by saturday or something "
Negative,Mon Jun 15 10:40:31 PDT 2009,My iPod isn't working!!! 
Positive,Sat May 30 04:16:00 PDT 2009,Sun's almost on the patio and then we'll be warm 
Negative,Sat Jun 06 12:40:08 PDT 2009,FAIL Tweets: megavideo fail  i have to wait 54 minutes to watch more video?!: megavideo fail  i .. http://tinyurl.com/ryshmt
Negative,Thu Jun 18 12:05:28 PDT 2009,@tennisfanatic77 uhoh...my daughter will be mighty unhappy about this... monfils is her man 
Positive,Sun May 31 08:31:21 PDT 2009,That's the ProBoards Image Upload script. 
Positive,Sun Jun 07 03:05:45 PDT 2009,less than four hours to go  woo!
Negative,Sat Jun 06 06:28:58 PDT 2009,"June 6 in Calgary, Alberta and it is heavily snowing!  "
Positive,Fri Jun 05 14:33:08 PDT 2009,@Smileitsashley larger than life. Now it's i'll never break your heart. 
Positive,Fri Jun 05 19:56:23 PDT 2009,@tweetmywedding I know it makes me so sad to watch them pout! 
Negative,Sun Apr 19 05:56:54 PDT 2009,"feels a little better today, waiting for my lovely Sunday dinner LOL. eastenders on soon, but iv got loads of work to do.  boohoo."
Negative,Sun May 31 23:39:57 PDT 2009,@maisizzle arghhhh! I know 
Negative,Sat Jun 06 17:19:27 PDT 2009,I hate having the kid that whines at the wedding. 
Positive,Sat May 30 20:32:52 PDT 2009,"Magicccc. Yeahhhh.  Now, I have to write a paper about Millard Fillmore, whoever the fuck that is. o_O"
Negative,Sat Jun 06 16:33:16 PDT 2009,"@tansahsa Oh, I'm racking that up at an EPIC rate.   I'm out of RolAids, too. Bueller? Bueller?"
Positive,Mon Jun 01 07:06:22 PDT 2009,"It's 9 am and I'm functioning.  I'm even dressed.  WTF.  Oh yeah, Sims 3 comes out at midnight, that's right "
Positive,Sun May 31 13:04:31 PDT 2009,"@Dannymcfly you're leaving soon.. but you're coming back, right? "
Negative,Thu Jun 18 00:07:26 PDT 2009,white choc muffin FAIL  they fell apart
Negative,Thu Jun 25 09:33:08 PDT 2009,"@sinca  Exactly, but sadly everyone was pretty good last night, so if Jason is in bottom 3 again, he might go home. "
Positive,Sun May 31 14:27:11 PDT 2009,@InsideGaming K thanks. 
Positive,Sat Jun 06 19:02:32 PDT 2009,@jwiltshire I cannot confirm or deny that statement 
Negative,Sat Jun 20 08:26:59 PDT 2009,I'm too weak to open the pickle jar 
Negative,Sun Jun 07 18:08:59 PDT 2009,"@Jonasbrothers I wish I could see you guys on tour this summer, but you're not coming anywhere close. "
Positive,Sat Jun 06 02:50:02 PDT 2009,Mr Freeze  Mort de rire : http://bit.ly/WJoc3
Negative,Wed Jun 03 04:20:11 PDT 2009,isPlayer Has Died! Sorry 
Negative,Fri Jun 05 23:34:56 PDT 2009,debris wasn't from Air France flight...I just hope God comfort the families hearts...I can't imagine how bad is 2 loose someone like that 
Positive,Tue May 26 22:09:27 PDT 2009,@scarletty24 i'm so glad you've discovered the twittery goodness that is @YasmineGalenorn... wait til you read her books!!! 
Negative,Mon Jun 15 16:13:49 PDT 2009,@JudahJumpOffTV: yeah I know 
Negative,Fri Jun 05 20:57:31 PDT 2009,http://twitpic.com/6q0dy - I want this 
Positive,Sun May 31 09:45:24 PDT 2009,just signed up with twitter and i kinda like this thing 
Positive,Fri May 22 05:26:53 PDT 2009,bye twitter  back to college work 
Positive,Tue Apr 21 01:26:06 PDT 2009,"Loving the names on the henchmen's shirts played by Louis Lombardi, Pathos, Ethos, Logos, Dildos, Huevos, Rancheros "
Positive,Mon Jun 15 18:43:49 PDT 2009,@edjrma tell her to call me then 
Negative,Mon Jun 15 16:24:58 PDT 2009,"@DenaeLynn Sorry, my dang campers came back so I shut my laptop and then they left so I opened it and Internet was out  Now we have dinner"
Positive,Sun Jun 07 20:23:20 PDT 2009,Some pepper and salt and my macaroni/potatoes salad was so bomb 
Negative,Thu Jun 18 14:36:37 PDT 2009,"My song is on! Haven't heard it days ''remember those walls I built well baby there tumbln down''(halo,beyonce) thinkn of y-o-u... "
Negative,Sun May 17 11:43:34 PDT 2009,@rmichaelthomas I shoulda did that myself. How are you going to have a omelette station and hardly have any ingredients? 
Positive,Sat May 09 22:31:39 PDT 2009,"@SamBennington Hey Sam, happy mothers day "
Positive,Tue Jun 02 03:25:28 PDT 2009,last exam tomorrow ... holiday mood already setting in! 
Negative,Sun May 17 11:11:11 PDT 2009,"@iyaitssuzanne @Hannah314 im not to sure, they didnt mention them "
Positive,Sun May 31 23:13:40 PDT 2009,reading Unaccustomed Earth by Jhumpa Lahiri 
Negative,Tue Jun 23 09:48:11 PDT 2009,"jon + kate getting a divorce, can't say it's a suprise "
Positive,Mon Jun 01 07:14:16 PDT 2009,yey just got in on brogårn 
Positive,Mon Jun 15 03:33:46 PDT 2009,@gadnur Great job on EdTech Weekly! 
Positive,Sun Jun 07 10:11:50 PDT 2009,"@_Flik_ oh god, i'm not, i can just about cope with one! "
Negative,Sat Jun 20 20:43:16 PDT 2009,Good show.. Offspring played the min of 1.5 hours and murphys played 45 min - both could have played a bit longer 
Negative,Thu Jun 18 22:38:34 PDT 2009,tired of guest over the house... wants to sleep... has tooo much work to do ... 
Negative,Wed Jun 17 07:50:14 PDT 2009,Another historic day at Fenway  by former Gov. Dukakis http://is.gd/14vKc Congrats Red Sox... still have yet to go to a game this summer 
Positive,Mon Jun 15 05:41:10 PDT 2009,@epic9x Thanks  It's just been one day but I am SO happy to be here.
Negative,Tue May 26 22:28:37 PDT 2009,@LaniiBlunts but i dont have a professional shot 
Positive,Sat May 16 22:55:01 PDT 2009,"@nikkigirrl EPIC FAIL, we didn't get further than our respective houses "
Positive,Sun Apr 19 06:39:12 PDT 2009,Friend from 'diff just gone back. Friend from North Wales due any minute.Great catching up weekend 
Negative,Thu Jun 25 01:10:08 PDT 2009,@thetillshow It just happens... It's a raw primal sound that simply erupts when I'm completely turned on. I can't manufacture it though. 
Negative,Thu Jun 18 16:55:41 PDT 2009,"ready to give Leah some lard, so she'll fatten up some. She seems so skinny. "
Positive,Mon Jun 15 12:36:58 PDT 2009,"Media exam tomorrow.. waaa. After that, only one to go "
Positive,Tue Jun 16 05:52:17 PDT 2009,@JBFutureboy Can't Wait! 
Negative,Sat Apr 18 07:06:07 PDT 2009,It's raining outside and the forecast say rain all day. crappy start to the weekend 
Positive,Mon May 18 03:12:31 PDT 2009,"REALLY?! idk how You do it . thanks for NO crankiness &amp; REST ?! God, You NEVER cease to amaze me "
Negative,Thu Jun 18 23:58:06 PDT 2009,thinking XML goin blank... 
Positive,Mon Jun 15 16:00:53 PDT 2009,"@k8mtbc any pics?  I've caught a lot of snakes in my day, but I've never run into a Copperhead around here. They are around though."
Positive,Sun Apr 19 02:02:34 PDT 2009, iPhone os 3.0 now installed.  This copy and paste thing is cool.  Wonder if it'll catch on...
Negative,Wed Jun 17 22:25:55 PDT 2009,"I'm outta time .... going to bed, dreaming that maybe when i'll wake up i'll be seeing your smile...... although.... it'll never happen "
Negative,Sat Jun 06 06:13:33 PDT 2009,says drag me to hell ! sereeem  http://plurk.com/p/yviqh
