"ID","Gender","Race","Age_at_Release","Residence_PUMA","Gang_Affiliated","Supervision_Risk_Score_First","Supervision_Level_First","Education_Level","Dependents","Prison_Offense","Prison_Years","Prior_Arrest_Episodes_Felony","Prior_Arrest_Episodes_Misd","Prior_Arrest_Episodes_Violent","Prior_Arrest_Episodes_Property","Prior_Arrest_Episodes_Drug","Prior_Arrest_Episodes_PPViolationCharges","Prior_Arrest_Episodes_DVCharges","Prior_Arrest_Episodes_GunCharges","Prior_Conviction_Episodes_Felony","Prior_Conviction_Episodes_Misd","Prior_Conviction_Episodes_Viol","Prior_Conviction_Episodes_Prop","Prior_Conviction_Episodes_Drug","Prior_Conviction_Episodes_PPViolationCharges","Prior_Conviction_Episodes_DomesticViolenceCharges","Prior_Conviction_Episodes_GunCharges","Prior_Revocations_Parole","Prior_Revocations_Probation","Condition_MH_SA","Condition_Cog_Ed","Condition_Other","Violations_ElectronicMonitoring","Violations_Instruction","Violations_FailToReport","Violations_MoveWithoutPermission","Delinquency_Reports","Program_Attendances","Program_UnexcusedAbsences","Residence_Changes","Avg_Days_per_DrugTest","DrugTests_THC_Positive","DrugTests_Cocaine_Positive","DrugTests_Meth_Positive","DrugTests_Other_Positive","Percent_Days_Employed","Jobs_Per_Year","Employment_Exempt","Recidivism_Within_3years","Recidivism_Arrest_Year1","Recidivism_Arrest_Year2","Recidivism_Arrest_Year3","Training_Sample"
5904,"M","BLACK","33-37",1,0,3,"Standard","High School Diploma",0,"Violent/Non-Sex","Less than 1 year",6,1,0,0,4,2,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
5906,"M","BLACK","28-32",3,1,9,"High","At least some college",3,"Other","Less than 1 year",5,3,1,2,4,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,4,2,3,62.8,0.100000001,0,0,0,0.718152866,1.454020701,0,0,0,0,0,1
5907,"M","BLACK","33-37",4,0,4,"Standard","High School Diploma",0,NA,"Less than 1 year",10,5,3,2,5,5,0,1,2,4,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,113.4,0.200000003,0,0,0,0.902998236,0.644179894,0,1,0,1,0,1
5909,"M","BLACK","23-27",2,0,10,"Specialized","High School Diploma",2,"Violent/Non-Sex","More than 3 years",10,2,1,5,5,3,0,1,3,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,40.5,0,0,0,0,0.325102881,1,0,1,0,0,1,0
5910,"M","BLACK","28-32",7,0,7,"High","High School Diploma",0,"Violent/Non-Sex","More than 3 years",5,1,2,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,8,1,0,91.5,0.200000003,0,0,0,0,0,0,1,0,1,0,0
5912,"M","WHITE","28-32",25,0,7,"Standard","Less than HS diploma",1,NA,"1-2 years",2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,47.125,0,0,0,0,1,1.937665782,0,1,0,1,0,0
5913,"M","BLACK","33-37",19,0,6,"High","High School Diploma",3,"Drug","Less than 1 year",7,3,0,0,5,3,0,0,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,90.5,0,0,0,0,1,1.345303867,0,0,0,0,0,1
5915,"M","BLACK","43-47",7,0,4,NA,"High School Diploma",0,"Property","1-2 years",9,1,0,5,1,1,0,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,131.5,0,0,0,0,0.737642586,1,0,1,0,1,0,1
5916,"F","BLACK","38-42",16,NA,4,"Standard","High School Diploma",3,"Property","Less than 1 year",10,2,1,5,1,4,0,0,3,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0
5919,"F","BLACK","43-47",20,NA,8,"High","At least some college",3,"Other","1-2 years",8,2,0,4,1,4,0,0,3,2,0,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,151.5,0,0,0,0,1,3,0,0,0,0,0,0
5920,"M","BLACK","43-47",4,0,3,"Standard","At least some college",3,NA,"1-2 years",10,6,0,5,3,5,0,0,3,2,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,3,124.2222222,0,0,0,0,0,0,0,0,0,0,0,0
5923,"M","BLACK","33-37",12,0,8,"High","Less than HS diploma",3,"Other","Greater than 2 to 3 years",4,0,0,0,4,1,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,9,0,3,895.5,0,0,0,0,0.298157454,0.203936348,0,1,0,1,0,1
5924,"M","BLACK","33-37",18,0,8,"High","High School Diploma",3,"Property","1-2 years",8,4,1,4,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.524,1,0,0,0,0,0,0
5925,"M","BLACK","28-32",21,0,5,"Standard","Less than HS diploma",0,NA,"1-2 years",6,6,0,0,5,3,0,1,2,4,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.375,0,0,0,0,1,0.906327543,0,0,0,0,0,1
5926,"M","BLACK","38-42",17,0,4,"Standard","At least some college",0,NA,"Less than 1 year",9,6,1,0,5,5,1,0,3,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,2.608928571,0,1,0,1,0,1
5928,"M","BLACK","28-32",22,0,10,"Specialized","High School Diploma",1,"Violent/Non-Sex","More than 3 years",9,6,3,2,1,5,0,0,3,4,1,2,1,1,0,0,1,0,0,0,1,1,1,0,0,4,7,0,1,24.79310345,0,0.068965517,0,0,0.795549374,0.507997218,0,1,0,1,0,1
5931,"M","WHITE","33-37",17,0,9,"High","High School Diploma",1,"Property","Less than 1 year",8,3,0,4,0,5,0,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4,6,0,1,20.5862069,0.034482758,0.034482758,0.034482758,0,0.89279732,0.611809045,0,0,0,0,0,0
5933,"M","BLACK","43-47",5,0,3,"Standard","Less than HS diploma",0,"Other","Less than 1 year",10,6,3,5,2,5,0,1,3,4,0,3,1,1,0,0,0,1,1,0,0,0,0,1,0,2,2,0,2,34.36363636,0,0,0,0,0,0,0,1,0,1,0,1
5936,"M","BLACK","38-42",15,0,3,"Standard","High School Diploma",2,NA,"Less than 1 year",6,6,3,0,4,3,0,0,1,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,2,19.20238095,0,0,0,0,0.614383137,0.452882827,0,0,0,0,0,1
5937,"M","WHITE","43-47",8,1,4,"High","At least some college",0,"Violent/Non-Sex","More than 3 years",5,1,1,3,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,180.6,0,0,0,0,0.92358804,0.40448505,0,0,0,0,0,1
5942,"M","BLACK","28-32",14,1,6,"High","High School Diploma",1,"Property","Less than 1 year",10,2,0,5,1,5,0,0,2,2,0,3,1,0,0,0,1,0,1,0,0,0,1,0,1,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
5943,"M","BLACK","38-42",22,0,3,NA,"High School Diploma",0,"Drug","Less than 1 year",7,4,3,0,5,2,0,0,1,4,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,10,1,1,28,0.086956523,0,0,0,0.47826087,1.13431677,0,1,0,1,0,1
5944,"M","BLACK","28-32",8,0,8,"High","Less than HS diploma",0,"Drug","Greater than 2 to 3 years",8,4,0,1,5,4,0,0,3,4,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0
5945,"M","BLACK","43-47",4,0,2,"Standard","At least some college",3,"Other","Less than 1 year",4,6,1,0,1,4,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.375,0,0,0,0,0,0,0,1,0,0,1,0
5946,"M","BLACK","33-37",20,0,8,"High","High School Diploma",0,"Violent/Non-Sex","More than 3 years",2,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,471,0,0,0,0,0.936305732,3.101910828,0,1,0,0,1,1
5947,"M","BLACK","38-42",19,0,9,"Specialized","High School Diploma",3,NA,"Greater than 2 to 3 years",7,6,2,5,4,4,1,0,2,4,1,3,2,1,0,0,0,0,1,1,0,0,1,0,0,4,6,1,1,93.25,0.100000001,0,0,0,0.857908847,0.783378016,0,0,0,0,0,1
5950,"M","WHITE","38-42",24,0,7,"High","High School Diploma",2,"Drug","1-2 years",8,6,2,5,3,5,1,0,3,2,1,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,6,0,1,43.66666667,0,0,0,0,1,1.672900763,0,0,0,0,0,1
5951,"M","BLACK","43-47",21,0,4,"Specialized","High School Diploma",2,"Violent/Sex","More than 3 years",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25.83333333,0,0,0,0,1,2,0,0,0,0,0,1
5953,"M","WHITE","38-42",17,0,7,"High","High School Diploma",3,"Drug","1-2 years",10,6,1,5,1,5,1,0,3,4,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,4,0,0,2,1015,0,0,0,0,0,0,0,1,0,0,1,1
5955,"F","WHITE","33-37",7,NA,5,"Standard","Less than HS diploma",3,NA,"Less than 1 year",6,6,0,4,1,5,0,0,2,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,62.625,0,0,0,0,0,0,0,0,0,0,0,0
5956,"M","WHITE","38-42",25,0,3,"Specialized","At least some college",0,"Violent/Sex","1-2 years",10,6,3,5,5,5,1,1,3,4,1,3,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,0,1,0,1,0,0
5959,"M","WHITE","48 or older",3,0,2,"Standard","High School Diploma",3,"Property","Less than 1 year",1,2,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,0,0,0,0,1,1.963709677,0,0,0,0,0,1
5960,"M","BLACK","28-32",18,0,8,"High","High School Diploma",2,"Drug","1-2 years",5,3,1,1,4,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,10,0,0,130,0.090909094,0,0,0,0,0,0,0,0,0,0,1
5963,"M","WHITE","28-32",10,1,10,"Specialized","High School Diploma",0,"Property","More than 3 years",6,1,1,4,0,2,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,23.36666667,0,0,0,0,1,1.042082739,0,1,0,1,0,1
5964,"M","BLACK","28-32",7,1,4,"Standard","Less than HS diploma",3,"Drug","Less than 1 year",5,6,0,1,5,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.565656566,0.61489899,1,1,0,1,0,0
5967,"M","BLACK","33-37",9,0,8,"Standard","Less than HS diploma",0,"Drug","Less than 1 year",8,5,1,1,5,5,1,0,1,4,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0
5968,"M","BLACK","28-32",6,0,9,"Specialized","High School Diploma",2,"Property","1-2 years",3,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,1,22.33333333,0,0,0,0,0,0,0,0,0,0,0,0
5973,"M","WHITE","28-32",17,0,7,"High","High School Diploma",0,"Property","Greater than 2 to 3 years",3,1,2,1,0,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
5974,"M","WHITE","28-32",15,0,7,"High","High School Diploma",3,"Property","Less than 1 year",8,0,0,1,5,1,0,0,3,0,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,2,0,1,0,1,0,0
5975,"M","BLACK","28-32",12,1,8,"Standard","High School Diploma",1,"Other","More than 3 years",7,6,2,2,2,5,0,1,3,4,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,56.83333333,0,0,0,0,0,0,0,1,0,1,0,1
5976,"M","WHITE","33-37",16,0,3,"Specialized","High School Diploma",0,"Other","Greater than 2 to 3 years",5,3,0,0,0,3,0,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,10,1,1,11.52380952,0,0,0,0,1,1.509297521,0,1,0,1,0,0
5977,"M","BLACK","33-37",4,0,9,"Specialized","High School Diploma",3,NA,"1-2 years",10,3,0,2,5,5,1,0,2,3,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,64.5,0.25,0,0,0,1,1,0,1,0,0,1,0
5978,"M","BLACK","28-32",8,0,8,"High","High School Diploma",1,NA,"1-2 years",6,3,1,3,2,2,0,1,3,1,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,2,19.46666667,0.200000003,0,0,0,0,0,0,0,0,0,0,1
5979,"M","BLACK","48 or older",23,0,7,"Standard","Less than HS diploma",0,"Property","More than 3 years",10,6,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,4,4,3,2,145.7692308,0.07692308,0.07692308,0,0,0.844327177,0.192744063,0,0,0,0,0,1
5980,"M","WHITE","28-32",24,1,8,"High","High School Diploma",0,NA,"More than 3 years",10,2,0,3,5,5,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,4,7,0,1,77.5,0.333333343,0,0.333333343,0,0,0,0,1,0,0,1,1
5983,"M","WHITE","28-32",13,0,9,"Standard","Less than HS diploma",0,"Other","Greater than 2 to 3 years",6,2,0,2,0,5,0,1,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,59.4,0,0,0,0,1,2,0,0,0,0,0,1
5985,"M","WHITE","33-37",16,1,5,"High","Less than HS diploma",1,"Other","1-2 years",10,6,3,4,4,5,1,0,0,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4,5,0,2,15.44,0.079999998,0,0,0,0,0,0,1,0,1,0,1
5986,"M","WHITE","28-32",17,1,NA,NA,"High School Diploma",0,"Property","Greater than 2 to 3 years",7,2,0,5,2,4,0,1,1,3,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,83.33333333,0,0,0,0,0.908,3,0,1,0,0,1,1
5989,"M","BLACK","28-32",10,0,5,"Standard","High School Diploma",1,"Property","Less than 1 year",5,1,2,2,0,1,0,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,81.8,0,0,0,0,0,0,0,0,0,0,0,1
5993,"M","BLACK","38-42",23,0,9,"Specialized","At least some college",3,"Other","Greater than 2 to 3 years",10,3,0,2,5,2,0,1,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,661.6666667,0,0,0,0,0.703274559,0.368010076,0,1,0,0,1,1
5995,"M","WHITE","43-47",5,1,5,NA,"At least some college",0,"Property","Less than 1 year",10,6,3,5,0,5,1,1,3,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,1,5,0,0,0,0,0,1
5996,"F","BLACK","48 or older",15,NA,2,NA,"Less than HS diploma",1,"Property","Less than 1 year",10,6,0,5,0,4,0,0,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.66666667,0,0,0,0,0,0,1,0,0,0,0,1
5997,"F","BLACK","33-37",6,NA,5,"Specialized","At least some college",3,"Violent/Non-Sex","More than 3 years",2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,42.82352941,0,0,0,0,1,0.501717033,0,0,0,0,0,0
5998,"M","BLACK","48 or older",19,0,2,NA,"Less than HS diploma",0,"Drug","1-2 years",4,6,0,3,1,4,0,0,0,4,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23.1,0,0,0,0,0.813852814,0.790584416,1,0,0,0,0,0
5999,"M","BLACK","38-42",1,0,7,"High","At least some college",3,"Property","Less than 1 year",10,3,0,3,5,0,0,1,0,4,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,3,52.2173913,0.086956523,0,0,0,0,0,0,0,0,0,0,0
6001,"M","BLACK","28-32",6,0,NA,NA,"Less than HS diploma",2,"Property","Less than 1 year",10,3,0,5,0,3,0,1,0,3,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,107.6666667,0,0,0,0,0.362229102,1,0,1,0,1,0,1
6002,"M","BLACK","43-47",5,0,6,"High","High School Diploma",2,"Property","Greater than 2 to 3 years",10,5,1,5,0,2,0,1,3,1,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,1,1,9.666666667,0,0,0,0,1,1,0,0,0,0,0,0
6004,"M","WHITE","33-37",17,0,8,"Specialized","High School Diploma",1,"Violent/Non-Sex","Greater than 2 to 3 years",7,6,3,1,3,5,1,0,2,4,1,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,2,101.5,0,0,0,0,0.702791461,1.799261084,0,1,0,1,0,1
6006,"M","BLACK","28-32",14,0,9,"Specialized","Less than HS diploma",2,"Drug","1-2 years",10,6,3,0,5,5,1,0,2,4,1,0,2,1,0,0,0,0,1,1,0,0,1,0,1,4,10,3,3,104.7777778,0.333333343,0.111111112,0,0,0,0,0,1,0,1,0,1
6009,"M","WHITE","28-32",15,0,6,"Standard","Less than HS diploma",1,"Drug","1-2 years",5,3,0,0,5,2,0,1,3,3,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,4,6,0,1,41.33333333,0,0,0,0,1,1.178225806,0,0,0,0,0,1
6010,"M","WHITE","38-42",24,0,3,"Standard","High School Diploma",1,"Drug","Less than 1 year",3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1
6012,"M","WHITE","28-32",18,0,8,"Specialized","At least some college",1,"Property","1-2 years",10,4,1,5,0,5,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,10,3,3,25.48,0,0,0,0,0.856357928,1.720172684,0,0,0,0,0,0
6013,"F","BLACK","48 or older",22,NA,6,"High","High School Diploma",2,"Property","1-2 years",10,5,0,5,1,5,0,0,3,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,229,0,0,0,0,0.702328967,0.265829694,1,1,0,0,1,0
6014,"M","WHITE","48 or older",17,0,3,"Standard","At least some college",3,"Violent/Non-Sex","More than 3 years",1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,140,0,0,0,0,1,0.521785714,0,0,0,0,0,1
6016,"F","BLACK","28-32",6,NA,10,"Specialized","High School Diploma",3,"Drug","1-2 years",10,6,2,5,4,4,0,0,3,3,0,2,2,1,0,0,0,0,1,1,0,0,1,1,1,4,6,0,2,147.6666667,0,0,0,0,0,0,0,1,0,1,0,1
6017,"M","WHITE","33-37",17,0,6,"High","Less than HS diploma",3,"Property","Less than 1 year",5,6,0,3,3,5,0,0,3,4,0,1,2,1,0,0,0,1,1,0,1,0,0,0,0,4,4,3,0,170.3333333,0.333333343,0,0.333333343,0,0.542074364,2.144324853,0,0,0,0,0,1
6018,"M","WHITE","48 or older",16,0,5,NA,"High School Diploma",2,"Violent/Non-Sex","1-2 years",10,6,3,5,2,5,1,1,3,4,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,57,0,0,0,0,1,0.800986842,1,1,0,0,1,1
6019,"M","WHITE","48 or older",19,0,2,"Specialized","High School Diploma",0,"Violent/Sex","More than 3 years",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,78.5,0,0,0,0,0.995753715,0.775477707,0,0,0,0,0,0
6020,"M","BLACK","33-37",19,0,6,"High","Less than HS diploma",2,"Violent/Non-Sex","1-2 years",5,6,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
6022,"M","WHITE","43-47",25,0,7,"Specialized","High School Diploma",0,"Property","More than 3 years",10,6,3,5,3,5,1,0,3,4,1,3,2,1,0,0,0,1,1,0,0,0,1,0,0,4,1,1,1,24.33333333,0.111111112,0,0.111111112,0,0,0,0,1,0,1,0,0
6024,"F","BLACK","48 or older",14,NA,2,"Standard","Less than HS diploma",0,"Violent/Non-Sex","More than 3 years",7,5,3,4,2,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,165,0,0,0,0,1,1,0,0,0,0,0,0
6026,"M","WHITE","28-32",14,1,NA,NA,"High School Diploma",1,"Property","Less than 1 year",7,3,2,5,1,2,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,0,1,0,1,0,0
6027,"M","WHITE","38-42",4,0,5,"Standard","Less than HS diploma",0,"Violent/Non-Sex","More than 3 years",4,4,3,1,2,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.45833333,0,0,0,0,0.98505604,0.909713574,0,0,0,0,0,0
6028,"M","WHITE","48 or older",23,0,2,NA,"Less than HS diploma",0,"Property","Less than 1 year",10,6,2,5,5,5,0,1,2,4,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,3,0,0,0,0,0,1
6029,"M","BLACK","38-42",5,0,3,"Standard","At least some college",2,NA,"Less than 1 year",3,6,1,0,3,1,0,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,153.3333333,0,0,0,0,1,2.382065217,1,0,0,0,0,1
6032,"M","BLACK","43-47",1,0,8,"Standard","Less than HS diploma",0,"Property","Less than 1 year",10,6,0,5,5,2,0,0,3,2,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.4,0,0,0,0,1,0.995231608,0,0,0,0,0,0
6034,"M","WHITE","28-32",4,1,9,"Specialized","High School Diploma",0,"Drug","1-2 years",6,6,3,4,2,3,0,0,3,3,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,31.2,0,0,0,0,0.626068376,1.560897436,0,1,0,1,0,1
6037,"M","WHITE","28-32",22,0,6,"High","High School Diploma",2,"Property","1-2 years",6,2,0,3,2,4,0,0,2,2,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,10,0,2,25.87179487,0.025641026,0,0,0,0.966303271,1.447968285,0,0,0,0,0,0
6038,"M","BLACK","48 or older",24,0,4,"Standard","Less than HS diploma",1,"Violent/Non-Sex","More than 3 years",7,3,3,4,0,1,0,0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.06451613,0.064516127,0,0,0,0.984536082,0.47068299,0,0,0,0,0,1
6039,"M","WHITE","38-42",16,0,4,"Standard","Less than HS diploma",0,"Property","Greater than 2 to 3 years",9,2,3,5,0,2,0,1,2,0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,3,5,0,1,41.1,0,0,0,0,1,1.333029197,1,0,0,0,0,0
6040,"M","BLACK","28-32",12,0,8,"Specialized","Less than HS diploma",2,"Violent/Non-Sex","1-2 years",6,2,2,1,2,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4,9,0,0,89.53846154,0,0,0,0,0.995704467,0.31378866,0,0,0,0,0,1
6044,"M","WHITE","28-32",8,0,9,"Specialized","High School Diploma",1,"Other","1-2 years",7,2,0,4,1,3,1,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,20.18181818,0,0,0.090909094,0,1,2,0,1,0,0,1,1
6046,"M","BLACK","28-32",10,0,10,"Specialized","High School Diploma",0,"Property","Greater than 2 to 3 years",9,1,1,5,0,0,0,0,3,2,0,3,0,0,0,0,0,0,1,0,1,0,1,1,1,4,0,0,0,94,0,0.200000003,0,0,0,0,0,1,0,1,0,1
6048,"M","BLACK","28-32",6,0,5,"Standard","Less than HS diploma",1,"Property","Less than 1 year",9,5,1,1,5,3,0,0,2,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0
6049,"M","WHITE","48 or older",17,0,9,"Specialized","High School Diploma",1,"Drug","More than 3 years",10,6,2,1,5,4,0,0,3,4,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,80.8125,0,0,0,0,0.252900232,0.564965197,0,1,0,1,0,1
6050,"M","WHITE","33-37",5,0,9,"Specialized","At least some college",3,"Property","More than 3 years",10,4,0,5,0,5,0,0,3,2,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,6,0,3,NA,NA,NA,NA,NA,0.130662021,0.318162021,0,1,0,1,0,1
6051,"M","BLACK","33-37",7,0,7,"Standard","High School Diploma",3,"Other","Greater than 2 to 3 years",8,2,1,0,5,2,0,0,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,0.963015647,0.259779516,0,0,0,0,0,1
6052,"F","BLACK","48 or older",19,NA,4,"Specialized","Less than HS diploma",3,"Violent/Non-Sex","More than 3 years",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,24.6,0.200000003,0,0,0,1,1.979674797,0,1,0,0,1,1
6053,"M","BLACK","28-32",2,0,6,NA,"Less than HS diploma",0,"Violent/Non-Sex","Greater than 2 to 3 years",5,3,3,2,1,2,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,32.875,0,0,0,0,0.593155894,1,0,1,0,0,1,1
6054,"M","WHITE","28-32",24,0,4,"Standard","Less than HS diploma",3,"Drug","1-2 years",7,1,0,4,1,2,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0.333333343,0,0.111111112,0,1,2,0,0,0,0,0,1
6056,"M","BLACK","33-37",8,0,6,"High","High School Diploma",2,"Violent/Non-Sex","More than 3 years",2,3,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,NA,NA,NA,NA,NA,0.517099863,0.999316005,0,1,0,0,1,1
6061,"M","WHITE","48 or older",4,0,3,"Standard","At least some college",0,"Violent/Non-Sex","More than 3 years",5,0,3,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,1,142.4,0,0,0,0,1,0.512991573,0,0,0,0,0,1
6063,"M","BLACK","48 or older",11,0,NA,NA,"At least some college",0,"Property","Less than 1 year",9,2,0,4,1,5,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
6067,"M","BLACK","38-42",12,0,NA,NA,"At least some college",0,"Property","1-2 years",8,6,2,5,1,1,0,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1
